hpi_type,hpi_flavor,level,placename,place_id,year,quarter,index_nsa
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2015,4,177.51
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2016,1,177.12
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2016,2,179.68
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2016,3,184.75
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2016,4,184.32
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2017,1,189.31
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2017,2,196.03
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2017,3,200.58
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2017,4,200.61
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2018,1,201.55
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2018,2,210.14
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2018,3,214.76
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2018,4,214.38
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2019,1,216.42
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2019,2,220.52
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2019,3,222.63
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2019,4,222.72
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2020,1,224.43
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2020,2,224.92
traditional,all-transactions,MSA,"Ann Arbor, MI",11460,2020,3,228.78
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2015,1,153.4
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2015,2,155.07
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2015,3,157.54
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2015,4,159.85
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2016,1,155.72
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2016,2,161.89
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2016,3,162.31
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2016,4,158.1
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2017,1,155.45
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2017,2,163.04
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2017,3,164.43
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2017,4,167.19
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2018,1,168.06
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2018,2,167.93
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2018,3,171.59
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2018,4,169.85
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2019,1,172.0
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2019,2,179.45
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2019,3,178.53
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2019,4,180.59
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2020,1,181.48
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2020,2,184.48
traditional,all-transactions,MSA,"Anniston-Oxford, AL",11500,2020,3,186.32
traditional,all-transactions,MSA,"Appleton, WI",11540,2015,1,154.36
traditional,all-transactions,MSA,"Appleton, WI",11540,2015,2,155.87
traditional,all-transactions,MSA,"Appleton, WI",11540,2015,3,157.01
traditional,all-transactions,MSA,"Appleton, WI",11540,2015,4,156.32
traditional,all-transactions,MSA,"Appleton, WI",11540,2016,1,158.61
traditional,all-transactions,MSA,"Appleton, WI",11540,2016,2,159.59
traditional,all-transactions,MSA,"Appleton, WI",11540,2016,3,162.43
traditional,all-transactions,MSA,"Appleton, WI",11540,2016,4,164.81
traditional,all-transactions,MSA,"Appleton, WI",11540,2017,1,164.56
traditional,all-transactions,MSA,"Appleton, WI",11540,2017,2,171.07
traditional,all-transactions,MSA,"Appleton, WI",11540,2017,3,172.74
