,Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter,total_covid_cases,population,new_cases,total_covid_per_capita_1000,new_cases_per_capita_1000
1447,"The Villages, FL",45540,2020,2,284.51,21.379999999999995,8.125261277695433,2020.25,345,132420,294.0,2.6053466243769825,2.2202084277299505
1448,"The Villages, FL",45540,2020,3,287.93,17.29000000000002,6.388560449305358,2020.5,2313,132420,1968.0,17.467149977344814,14.861803352967831
1449,"The Villages, FL",45540,2020,4,288.96,19.46999999999997,7.224757875987967,2020.75,5085,132420,2772.0,38.400543724512914,20.933393747168104
1450,"Toledo, OH",45780,2020,1,167.7,7.299999999999983,4.551122194513705,2020.0,152,641816,152.0,0.23682800054844377,0.23682800054844377
1451,"Toledo, OH",45780,2020,2,168.86,6.200000000000017,3.8116316242469055,2020.25,3162,641816,3010.0,4.926645642988022,4.689817642439578
1452,"Toledo, OH",45780,2020,3,172.93,8.569999999999993,5.214164030177654,2020.5,10149,641816,6987.0,15.812943273461553,10.88629763047353
1453,"Toledo, OH",45780,2020,4,176.75,10.550000000000011,6.347773766546337,2020.75,39188,641816,29039.0,61.05799793087115,45.2450546574096
1454,"Topeka, KS",45820,2020,1,192.6,12.23999999999998,6.786427145708572,2020.0,22,225038,22.0,0.09776126698602014,0.09776126698602014
1455,"Topeka, KS",45820,2020,2,194.19,6.349999999999994,3.3805366269165216,2020.25,831,231969,809.0,3.582375231173131,3.487534972345443
1456,"Topeka, KS",45820,2020,3,198.67,10.679999999999978,5.681153252832586,2020.5,3435,231969,2604.0,14.80801313968677,11.225637908513638
1457,"Topeka, KS",45820,2020,4,202.91,9.949999999999989,5.1565091210613545,2020.75,15071,231969,11636.0,64.96988821782222,50.161875078135445
1458,"Trenton-Princeton, NJ",45940,2020,1,208.17,11.20999999999998,5.691510966693734,2020.0,268,367430,268.0,0.7293906322292681,0.7293906322292681
1459,"Trenton-Princeton, NJ",45940,2020,2,208.37,6.379999999999996,3.158572206544876,2020.25,7697,367430,7429.0,20.94820782189805,20.21881718966878
1460,"Trenton-Princeton, NJ",45940,2020,3,213.73,8.929999999999978,4.360351562499989,2020.5,8698,367430,1001.0,23.672536265411097,2.72432844351305
1461,"Trenton-Princeton, NJ",45940,2020,4,216.05,9.610000000000014,4.655105599689989,2020.75,18790,367430,10092.0,51.13899246114906,27.466456195737962
1462,"Tucson, AZ",46060,2020,1,229.1,13.689999999999998,6.3553224084304345,2020.0,202,1047279,202.0,0.19288078916888432,0.19288078916888432
1463,"Tucson, AZ",46060,2020,2,231.46,13.870000000000005,6.374373822326396,2020.25,8004,1047279,7802.0,7.64266255696906,7.449781767800175
1464,"Tucson, AZ",46060,2020,3,237.36,16.090000000000003,7.271659059068108,2020.5,25628,1047279,17624.0,24.471033984258256,16.828371427289195
1465,"Tucson, AZ",46060,2020,4,242.9,18.610000000000014,8.297293682286332,2020.75,69522,1047279,43894.0,66.38345655742167,41.912422573163404
